,tweet_id,retweet_count,favorite_count
215,848690551926992896,3911,23175
216,848324959059550208,4128,22733
217,848213670039564288,644,7520
218,848212111729840128,2710,14986
219,847978865427394560,2908,0
220,847971574464610304,394,0
221,847962785489326080,4554,21668
222,847842811428974592,1186,4991
223,847617282490613760,376,6447
224,847606175596138505,3071,17285
225,847251039262605312,3900,18888
226,847157206088847362,5237,18320
227,847116187444137987,2866,19808
228,846874817362120707,3536,18546
229,846514051647705089,10329,41023
230,846505985330044928,2752,13019
231,846153765933735936,8138,28985
232,846139713627017216,9136,28702
233,846042936437604353,2578,14757
234,845812042753855489,7836,26898
235,845677943972139009,4369,23344
236,845397057150107648,1615,7055
237,845306882940190720,4837,21533
238,845098359547420673,6910,0
239,844979544864018432,2304,12639
240,844973813909606400,2838,13883
241,844580511645339650,2802,15239
242,844223788422217728,1983,12654
243,843981021012017153,2693,14056
244,843856843873095681,4157,19877
245,843604394117681152,2473,15629
246,843235543001513987,5379,19889
247,842846295480000512,3306,14168
248,842765311967449089,1174,6274
249,842535590457499648,3162,16859
250,842163532590374912,5239,22646
251,842115215311396866,2748,12979
252,841833993020538882,13507,0
253,841680585030541313,7127,23952
254,841439858740625411,3299,11681
255,841320156043304961,5007,18355
256,841314665196081154,4219,14687
257,841077006473256960,4872,21272
258,840761248237133825,1615,0
259,840728873075638272,14550,0
260,840698636975636481,2,162
261,840696689258311684,888,11424
262,840632337062862849,1615,8389
263,840370681858686976,4168,15279
264,840268004936019968,5195,17812
265,839990271299457024,2060,12482
266,839549326359670784,7036,25491
267,839290600511926273,132,0
268,839239871831150596,5909,25123
269,838952994649550848,3651,18292
270,838921590096166913,1851,10372
271,838916489579200512,31,0
272,838831947270979586,9987,0
273,838561493054533637,1229,10208
274,838476387338051585,4327,20899
275,838201503651401729,9142,0
276,838150277551247360,300,1561
277,838085839343206401,1,134
278,838083903487373313,2829,16411
279,837820167694528512,7127,31734
280,837482249356513284,405,3589
281,837471256429613056,2057,11951
282,837110210464448512,2172,15020
283,836989968035819520,2107,11908
284,836753516572119041,4246,18055
285,836677758902222849,2018,11789
286,836648853927522308,505,0
287,836397794269200385,24968,0
